a.m.	[ˌeɪ ˈem] abbr. 上午，午前; 
manual	[ˈmænjuəl] adj. 用手的;手制的，手工的 n. 手册;指南 
manufacture	[ˌmænjuˈfæktʃə(r), ˌmænjəˈfæktʃɚ] vt. 加工;制造，生产 n. 制造;制成品，产品 
many	[ˈmɛni, ˈmeni] adj. 许多，多的 pron. （与复数动词连用）大多数人 
map	[mæp] n. 地图，天体图;类似地图的事物 vt. 绘制（一地区等的）地图;勘查 
marble	[ˈmɑ:bl, ˈmɑ:rbl] n. 大理石 adj. 大理石的 v. 把（书边）弄上大理石花纹 
march	[mɑ:tʃ, mɑ:rtʃ] vi. （坚定地向某地）前进 vt. 使前进 n. 行军 
margin	[ˈmɑ:rdʒən, ˈmɑ:dʒɪn] n. 边缘，范围;极限 vt. 留边;成为…的边 
mark	[mɑ:rk, mɑ:k] n. 记号 vt. 作记号 vi. 评分 
market	[ˈmɑ:rkɪt, ˈmɑ:kɪt] n. 交易 vt. 在市场上出售某物 vi. <美>去市场买东西 
marriage	[ˈmærɪdʒ] n. 结婚 
marry	[ˈmæri] vt.&vi. 娶;嫁 vt. 为…主持婚礼 
Marxism	[ˈmɑ:ksɪzəm, ˈmɑ:rksɪzəm] n. 马克思主义 
mask	[mɑ:sk, mæsk] n. 面具 vt. 掩饰 vi. 戴面具 
mass	[mæs] n. 大量，大多 vt.&vi. （使）集中，聚集 adj. 大规模的 vi. 聚集起来 vt. 使集合 
massive	[ˈmæsɪv] adj. 大规模的 
master	[ˈmɑ:stə(r), ˈmæstə(r)] n. 大师 vt. 精通，熟练 adj. 主人的 
match	[mætʃ] n. 比赛 vt. 相同 vt.&vi. 使相配，使相称 
mate	[meɪt, met] n. （工人间的）伙伴，同事，老兄，老弟〔工人，水手间的亲密称呼〕;配偶〔男女任何一方〕，动物之偶（尤指鸟类），（一对中的）一只，配对物 vt.&vi. （使）成为配偶;（使）交配 
material	[məˈtɪəriəl, məˈtɪriəl] n. 素材;材料，原料 adj. 物质的;肉体的 
mathematics	[ˌmæθəˈmætɪks] n. 数学 
matter	[ˈmætɚ, ˈmætə(r)] n. 物质;事件 vi. 要紧，重要;化脓 
may	[me, meɪ] aux. 可以;会 n. [May]五月;山楂属植物 
maybe	[ˈmeɪbi, ˈmebi] adv. 也许;可能 n. 不确定性 
mayor	[ˈmeɪər, meə(r)] n. 市长 
me	[mi] pron. （人称代词I的宾格）我 n. 自我;自我的一部分 
meadow	[ˈmedoʊ, ˈmedəʊ] n. 草地 
meal	[mi:l, mil] n. 餐，饭;进餐（时间） vi. 进餐 
mean	[mi:n, min] v. 意思是 adj. 吝啬的 n. 平均数 
meaning	[ˈmi:nɪŋ, ˈminɪŋ] n. 含义 adj. 有意思的 vt. 意味(mean的现在分词) 
means	[mi:nz] n. 手段;方法（ mean的名词复数） v. 意味着（ mean的第三人称单数）;引起 
meantime	[ˈmi:ntaɪm, ˈminˌtaɪm] n. 其时，其间 adv. 同时，其间 
meanwhile	[ˈmi:nwaɪl, ˈminˌhwaɪl, -ˌwaɪl] adv. 同时，其间 n. 其时，其间 
measure	[ˈmɛʒɚ, ˈmeʒə(r)] n. 措施 vt. 测量 vi. 测量 
meat	[mi:t, mit] n. 肉;食物 adj. 重要的;基本的 
mechanic	[məˈkænɪk, mɪˈkænɪk] n. 技工，机修工 
mechanical	[mɪˈkænɪkəl, məˈkænɪkl] adj. 机械的，机械学的 
mechanics	[mɪ'kænɪks, mɪˈkænɪks] n. 力学 
medal	[ˈmedl, ˈmɛdl] n. 勋章 vi. 获奖：赢得一枚奖章 vt. 授予…奖章 
medical	[ˈmɛdɪkəl, ˈmedɪkl] adj. 医学的;医疗的 n. 体格检查 
medicine	[ˈmɛdɪsɪn, ˈmedsn] n. 医学 
Mediterranean	[ˌmedɪtəˈreɪniən, ˌmɛdɪtəˈreniən, -ˈrenjən] adj. 地中海的 
medium	[ˈmi:diəm, ˈmidiəm] adj. 中等的，中级的;普通的 n. 媒介物，媒质;中间，中庸，[生]培养基，培养液，颜料溶解液，[数]中数，平均，[逻]中名辞 
meet	[mi:t, mit] vt.&vi. 相遇 vt. 满足 n. 运动会，体育比赛 adj. 适当的 
meeting	[ˈmitɪŋ, ˈmi:tɪŋ] n. 会议;聚会 v. 开会;相遇( meet的现在分词) 
melon	[ˈmɛlən, ˈmelən] n. 甜瓜 
melt	[mɛlt, melt] vi. 熔化，溶解;逐渐融合 vt. 熔化，溶解;使混合在一起 
member	[ˈmɛmbɚ, ˈmembə(r)] n. 成员 
membership	[ˈmembərʃɪp, ˈmembəʃɪp] n. 会员资格 
memorial	[məˈmɔ:riəl, məˈmɔriəl, -ˈmor-] n. 纪念碑，纪念物;纪念仪式 adj. 纪念的;悼念的 
memory	[ˈmeməri, ˈmɛməri] n. 记忆，记忆力 
mend	[mend, mɛnd] vt. 修理，修补 vi. 康复，痊愈 n. 修补 
mental	[ˈmentl, ˈmɛntl] adj. 内心的，精神的，思想的，心理的;智慧的，智[脑]力的 n. 精神病患者 
mention	[ˈmɛnʃən, ˈmenʃn] vt. 提到，说起;提名表扬 n. 提及 
menu	[ˈmɛnju, ˈmenju, ˈmenju:] n. 菜单 
merchant	[ˈmɜ:tʃənt, ˈmɜ:rtʃənt] n. 商人;店主 adj. 商人的;商业的 
mercy	[ˈmɜ:si, ˈmɜ:rsi] n. 怜悯 
mere	[mɪr, mɪə(r)] adj. 纯粹的;仅仅，只不过 n. 小湖，池塘;〈英〉边境（线） 
merely	[ˈmɪəli, ˈmɪrli] adv. 只是 
merit	[ˈmɛrɪt, ˈmerɪt] n. 价值，优点 vt. 值得，应获得 vi. 值得，应得 
merry	[ˈmɛri, ˈmeri] adj. 愉快的，快活的;有趣的 n. 甜樱桃;梅里（姓氏） 
mess	[mɛs, mes] n. 混乱 vt. 弄脏 vi. 把事情弄糟 
message	[ˈmesɪdʒ, ˈmɛsɪdʒ] n. 消息;信息 v. 给…发消息;给…留言 
messenger	[ˈmesɪndʒə(r), ˈmɛsəndʒɚ] n. 信使，信差 
metal	[ˈmetl, ˈmɛtl] n. 金属;金属元素 vt. 以金属覆盖 
meter	[ˈmi:tə(r), ˈmitɚ] n. 计量器;计量仪 v. 用仪表测量 
method	[ˈmeθəd, ˈmɛθəd] n. 方法 
midday	[ˌmɪdˈdeɪ, ˈmɪdˌde] n. 中午;正午 adj. 正午的 
middle	[ˈmidl, ˈmɪdl] n. 中央 adj. 中间的 vt. 把…放在中间 vi. 放在中间 
midnight	[ˈmɪdnaɪt, ˈmɪdˌnaɪt] n. 子夜，午夜 
midst	[mɪdst, mɪtst, mɪdst] n. 中部，中间，当中 prep. 在…中间（等于amidst） adv. 在中间，在中央 
might	[maɪt] aux. 表示可能 n. 力气 v. 可以 
mighty	[ˈmaɪti] adj. 强有力的;趾高气扬 adv. 非常，很 
mild	[maɪld] adj. 轻微的;温柔的 n. 淡味麦芽啤酒 
mile	[maɪl] n. 英里 
military	[ˈmɪləteri, ˈmɪlətri] adj. 军事的;军用的 n. 军队;军人 
milk	[mɪlk] n. 奶;母乳 vt. 挤奶;榨取 
mill	[mɪl] n. 磨坊 vt. 研磨，粉碎 vi. 惊跑，乱闯 
millimeter	['mɪlɪˌmi:tə, 'mɪləˌmi:tə] n. 毫米 
million	[ˈmɪljən] n. 百万 adj. 百万的;无数的 
mind	[maɪnd] n. 心，精神，心力，知，智力，智慧 vi. 介意 vt. 专心于 
mine	[maɪn] pron. (I的所有格)我的（东西） n. 矿井 vt.&vi. 在…中开采，开采 vt. 在…中[下]布雷 
miner	[ˈmaɪnɚ, ˈmaɪnə(r)] n. 矿工 
mineral	[ˈmɪnərəl] n. 矿物;矿物质 adj. 矿物的，似矿物的 
minister	[ˈmɪnɪstə(r), ˈmɪnɪstɚ] n. 部长;大臣 vi. 辅助，服侍;执行牧师职务 
ministry	[ˈmɪnɪstri] n. （政府的）部 
minor	[ˈmaɪnɚ, ˈmaɪnə(r)] adj. 较小的，少数的，小… n. 未成年人 vi. [主美国英语]副修，选修，兼修 
minority	[maɪˈnɒrəti, maɪˈnɔ:rəti] n. 少数 
minus	[ˈmaɪnəs] prep. （表示否定）没有 n. 减号 adj. 负的 
minute	[ˈmɪnɪt, 'mɪnɪt] n. 分，分钟;瞬间，片刻 vt. 把…记录在案;为…测定时间 
miracle	[ˈmɪrəkəl, ˈmɪrəkl] n. 奇迹，圣迹，神迹 
mirror	[ˈmɪrə(r), ˈmɪrɚ] n. 镜子，反光镜;真实的写照 vt. 反射;反映 
mischief	[ˈmɪstʃɪf] n. 恶作剧 
misfortune	[ˌmɪsˈfɔ:tʃu:n, ˌmɪsˈfɔ:rtʃu:n] n. 不幸 
miss	[mɪs] n. 女士;（用于姓名或姓之前，对未婚女子的称呼）小姐 v. 思念;漏掉 
missile	[ˈmɪsaɪl, ˈmɪsl] n. 导弹;投射物 adj. 导弹的;可投掷的 
mission	[ˈmɪʃn, ˈmɪʃən] n. 使命;代表团 v. 给…交代任务;派遣 
mist	[mɪst] n. 薄雾 vt. （使）蒙上薄雾 vi. 下雾 
mistake	[mɪˈsteɪk, mɪˈstek] n. 错误，过失，误解 vt.&vi. 弄错，误解 vt. 误会 vi. 弄错 
mistress	[ˈmɪstrəs, ˈmɪstrɪs] n. 情妇 
misunderstand	[ˌmɪsʌndəˈstænd, ˌmɪsʌndərˈstænd] vt. 曲解 
mix	[mɪks] vt.&vi. 混合 n. 混录 vt. 调配，配制 vi. 混合录音，混录，混音 
mixture	[ˈmɪkstʃə(r), ˈmɪkstʃɚ] n. 混合，混杂 
mobilize	[ˈmoʊbəlaɪz, ˈməʊbəlaɪz] vt. 调动;动员 vi. 动员起来 
mock	[mɒk, mɑ:k] vt.&vi. 愚弄，嘲弄 vt. 使受挫折 adj. 模拟的 n. （英国）模拟考试 
model	[ˈmɒdl, ˈmɑ:dl] n. 模型 vt.&vi. 做模特儿 vt. 模仿 adj. 典型的，模范的 
moderate	[ˈmɒdərət, ˈmɑ:dərət] adj. 有节制的 vt. 使和缓 vi. 变缓和 
modern	[ˈmɒdn, ˈmɑ:dərn] adj. 现代的;近代的 n. 现代人，现代主义者;时髦人士 
modify	[ˈmɒdɪfaɪ, ˈmɑ:dɪfaɪ] vi. 修改;被修饰 vt. 改变;减轻，减缓 
moist	[mɔɪst] adj. 潮湿的 
mold	[məʊld, mold] n. 模子 vt. 塑造 vi. 对…产生影响，形成 
moment	[ˈməʊmənt, ˈmoʊmənt] n. 时刻 
Monday	[ˈmʌndeɪ] n. 星期一 
monetary	[ˈmʌnɪtri, ˈmʌnɪteri] adj. 货币的，金钱的 
money	[ˈmʌni] n. 钱 
monitor	[ˈmɑ:nɪtə(r), ˈmɒnɪtə(r)] n. 监测仪 vt. 监督 vi. 监视 
monkey	[ˈmʌŋki] n. 猴 vi. 胡闹 vt. 嘲弄 
monopoly	[məˈnɒpəli, məˈnɑ:pəli] n. 垄断 
month	[mʌnθ] n. 月，月份 
monthly	[ˈmʌnθli] adj. 每月的 n. 月刊 adv. 每月 
monument	[ˈmɒnjumənt, ˈmɑ:njumənt] n. 纪念碑 
mood	[mu:d, mud] n. 心情 
moon	[mu:n, mun] n. 卫星 vi. 闲逛 vt. 虚度 
moral	[ˈmɒrəl, ˈmɔ:rəl] adj. 道德的，道义上的;精神上的 n. 寓意，教训;（尤指男女间的）品行 
more	[mɔ:(r), mɔr, mor] adv. 更，更多 adj. 更多的 pron. 更多的或附加的人或事物 n. 更多 
moreover	[mɔ:rˈoʊvər, mɔ:rˈəʊvə(r)] adv. 而且 
morning	[ˈmɔ:nɪŋ, ˈmɔ:rnɪŋ] n. 早晨 
mortal	[ˈmɔ:rtl, ˈmɔ:tl] adj. 致命的;不共戴天的 n. 凡人，人类 
mortgage	[ˈmɔ:gɪdʒ, ˈmɔ:rgɪdʒ] n. 抵押;抵押单据，抵押证明 vt. 抵押 
most	[məʊst, moʊst] adv. 最，最多（大） adj. many的最高级 n. 大部分 
mostly	[ˈmoʊstli, ˈməʊstli] adv. 大部分，多半 
mother	[ˈmʌðə(r), ˈmʌðɚ] n. 母亲，妈妈;女修道院院长 vt. 像母亲般地照顾;养育 
motion	[ˈməʊʃn, ˈmoʊʃn] n. 运动 vt. 打手势 vi. 运动 
motive	[ˈməʊtɪv, ˈmoʊtɪv] n. 动机，主旨 adj. 动机的 vt. 促使 
motor	[ˈməʊtə(r), ˈmoʊtə(r)] n. 汽车 vi. 开[乘]汽车 vt. 用汽车运送 adj. 有引擎的 
mount	[maʊnt] vt.&vi. 登上 vi. 增加 vt. 安装，架置 n. 山峰 
mountain	[ˈmaʊntən, ˈmaʊntn] n. 山脉 
mountainous	[ˈmaʊntənəs] adj. 多山的 
mouse	[maʊs] n. 鼠标;老鼠 vi. 捕鼠;窥探，偷偷地寻找 
mouth	[maʊθ] n. 口 vt. 装腔作势地说 vi. 装腔作势说话 
move	[mu:v, muv] vt.&vi. 移动，搬动 vi. 行动 vt. 提议 n. 改变 
movement	[ˈmuvmənt, ˈmu:vmənt] n. 运动 
movie	[ˈmu:vi, ˈmuvi] n. 电影 
Mr.	[ˈmɪstɚ, ˈmɪstə] n. 先生 
Mrs.	[ˈmɪsɪz] n. 夫人，太太（对无特殊头衔的已婚妇女的称呼） 
Ms.	[mɪz] n. 女士（对不愿被称为“太太”或“小姐”的女子的称呼） 
much	[mʌtʃ] adv. 非常 adj. 许多的，大量的 pron. 很多 
multiple	[ˈmʌltɪpl, ˈmʌltəpəl] adj. 多重的;多个的 n. <数>倍数;[电工学]并联 
multiply	[ˈmʌltɪplaɪ, ˈmʌltəˌplaɪ] vt.&vi. 乘 adv. 多样地 adj. 多层的 
municipal	[mjuˈnɪsəpəl, mju:ˈnɪsɪpl] adj. 市的，市政的;地方自治的 n. 市政债券 
murder	[ˈmɜ:də(r), ˈmɜ:rdə(r)] n. 谋杀 vt. 凶杀 vi. 杀人 
murderer	[ˈmɜ:dərə(r), ˈmɜ:rdərə(r)] n. 谋杀犯，凶手 
muscle	[ˈmʌsl, ˈmʌsəl] n. 肌肉 vt. 硬挤 vi. 用力挤 
museum	[mjuˈzi:əm, mjuˈziəm] n. 博物馆 
mushroom	[ˈmʌʃrʊm, ˈmʌʃˌrum, -ˌrʊm] n. 蘑菇 adj. 蘑菇的 vi. 迅速增长 
music	[ˈmjuzɪk, ˈmju:zɪk] n. 音乐 
musical	[ˈmju:zɪkl] adj. 悦耳的;音乐的，用于音乐的 n. （社交性的）音乐会;[影视]歌舞片 
musician	[mjuˈzɪʃən, mjuˈzɪʃn] n. 音乐家 
must	[məst, mʌst] aux. 必须 n. 必须做的事，必不可少的事物 vt.&vi. 得 adj. 不可或缺的 
mutual	[ˈmjutʃuəl, ˈmju:tʃuəl] adj. 相互的 
my	[maɪ] adj. 我的(I的所有格形式) int. 啊呀;天啊 
myself	[maɪˈself, maɪˈsɛlf] pron. 我自己，亲自 
mysterious	[mɪˈstɪriəs, mɪˈstɪəriəs] adj. 玄妙 
mystery	[ˈmɪstri, ˈmɪstəri] n. 秘密，谜 
nail	[nel, neɪl] n. 钉子;指甲，趾甲 vt. 钉住;抓住 
naked	[ˈneɪkɪd, ˈnekɪd] adj. 裸体的，裸露的 
name	[neɪm, nem] n. 名字 vt. 确定 adj. 著名的 
namely	[ˈneɪmli, ˈnemli] adv. 即，也就是 
narrow	[ˈnærəʊ, ˈnæroʊ] adj. 狭窄的 vt. 限制，限定 n. 海峡 vi. 变窄 
nation	[ˈneɪʃn, ˈneʃən] n. 国家 
national	[ˈnæʃənəl, ˈnæʃnəl, ˈnæʃnəl] adj. 国家的;国民的 n. [常用复数]全国性比赛;某国国民 
nationality	[ˌnæʃə'næləti, ˌnæʃəˈnæləti] n. 国籍 
native	[ˈneɪtɪv, ˈnetɪv] adj. 本国的;土著的 n. 当地人;土著人 
natural	[ˈnætʃrəl] adj. 自然的;天生的 n. 自然的事情;（生来的）白痴 
nature	[ˈnetʃɚ, ˈneɪtʃə(r)] n. 自然 
naughty	[ˈnɔ:ti, ˈnɔti] adj. 顽皮的 
navigation	[ˌnævɪˈɡeʃən, ˌnævɪˈgeɪʃn] n. 航行（学） 
navy	[ˈneɪvi, ˈnevi] n. 海军 
near	[nɪə(r), nɪr] adv. （空间）在近处 prep. （表示程度）接近 adj. 近的 
nearby	[ˌnɪəˈbaɪ, ˌnɪrˈbaɪ] adj. 在附近的，位于附近的 adv. 附近地，不远地 
nearly	[ˈnɪəli, ˈnɪrli] adv. 几乎，差不多 
neat	[nit, ni:t] adj. 灵巧的 
necessary	[ˈnesəsəri, ˈnesəseri] adj. 必要的;强制的 n. 必需品 
necessity	[nəˈsesəti, nəˈsɛsɪti] n. 必需品 
neck	[nek, nɛk] n. 颈，脖子 vi. 搂着脖子亲吻，相拥互吻 vt. 使变细 
necklace	[ˈnekləs, ˈnɛklɪs] n. 项链 
need	[nid, ni:d] vt. 需要 aux. 必须 n. 需要 vi. （表示应该或不得不做）有必要 
needle	[ˈni:dl, ˈnidl] n. 针 vt. 用针缝，刺 vi. 缝纫 
negative	[ˈnegətɪv, ˈnɛɡətɪv] adj. 消极的，否认的 n. 否定词语 vt. 否定 
neglect	[nɪˈglekt, nɪˈɡlɛkt] vt. 忽略;疏忽 n. 怠慢;玩忽 
negotiate	[nɪˈgəʊʃieɪt, nɪˈgoʊʃieɪt] vi. 谈判，协商，交涉 vt. 谈判达成;成功越过 
negotiation	[nɪˌgəʊʃiˈeɪʃn, nɪˌgoʊʃiˈeɪʃn] n. 协商，谈判 
neighbor	['neɪbə, ˈnebɚ] n. <美>邻居，邻国 adj. 邻近的，邻接的 vi. 友好 vt. 邻接 
neighborhood	['neɪbəhʊd, ˈnebɚˌhʊd] n. 地区 
neither	[ˈnaɪðə(r), ˈniðɚ, ˈnaɪ-] adj. （两者）都不的 pron. 两者都不 adv. 两个都不 conj. 既不 
nephew	[ˈnɛfju, ˈnefju:] n. 侄子，外甥 
nerve	[nɜ:v, nɜ:rv] n. 神经;勇气，胆量 vt. 鼓励，激励;鼓起勇气 
nervous	[ˈnɜ:vəs, ˈnɜ:rvəs] adj. 神经质的 
nest	[nɛst, nest] n. （鸟）窝 vt. 筑巢 vi. 筑巢 
net	[net, nɛt] n. 网 vt. 用网捕 adj. 净的 
network	[ˈnetwɜ:rk, ˈnetwɜ:k] n. 网 vt.&vi. 将…连接成网络 vt. 把（地方节目）编排到广播网（或电视网）联播 vi. 沟通，互助 
neutral	[ˈnu:trəl, ˈnju:trəl] adj. 中立的;（化学中）中性的 n. （汽车或其他机器的）空挡位置;中立人士 
never	[ˈnevə(r), ˈnɛvɚ] adv. 从不，从来没有 
nevertheless	[ˌnevərðəˈles, ˌnevəðəˈles] adv. 不过;然而 conj. 然而;尽管如此 
new	[nju:, nu:] adj. 新的，崭新的;新鲜的，新到的 adv. 新近，最近 
news	[nu:z, nju:z] n. 新闻 
newspaper	[ˈnju:zpeɪpə(r), ˈnu:zpeɪpə(r)] n. 报纸，报 
next	[nekst, nɛkst] adj. 紧接在后的 adv. 接下去 n. 下一个 prep. 靠近 
nice	[naɪs] adj. 美好的，愉快的 
nickname	[ˈnɪkneɪm, ˈnɪkˌnem] n. 昵称;绰号 vt. 给…起绰号;用诨名[爱称]称呼 
niece	[nis, ni:s] n. 侄女 
night	[naɪt] n. 晚上 
nine	[naɪn] num. 九 n. 九，九个 adj. 九的，九个的 
nineteen	[naɪnˈtin, ˌnaɪnˈti:n] num. 十九;十九个 n. 十九岁;十九点钟 
ninety	[ˈnaɪnti] num. 九十 n. 九十 adj. 九十的 
ninth	[naɪnθ] n. 第九;九分之一 adj. 第九的;九分之一的 
no	[noʊ, nəʊ] adv. 不 adj. 没有的 n. 不 abbr. 数字(number) 
noble	[ˈnəʊbl, ˈnoʊbl] adj. 高尚的;贵族的 n. 尊贵的人;旧时在英国使用的金币 
nobody	[ˈnəʊbədi, ˈnoʊbədi] pron. 没有人，无人 n. 小人物，无足轻重的人 
nod	[nɒd, nɑ:d] vi. 点头 vt. 点头示意 n. 点头 
noise	[nɔɪz] n. 噪音 vt. 谣传 vi. 发出声音 
noisy	[ˈnɔɪzi] adj. 嘈杂的;喧闹的 n. 响声;嘈杂声 
nominate	[ˈnɑ:mɪneɪt, ˈnɒmɪneɪt] vt. 任命 
none	[nʌn] pron. 没有一个;没有人，没有一人 adv. 根本不;无法，绝不 
nonsense	[ˈnɑ:nsens, ˈnɒnsns] n. 胡闹 adj. 荒谬的 int. 荒唐 
noon	[nu:n] n. 晌午 
nor	[nɔ:(r), nɔr] conj. 也不 
normal	[ˈnɔ:rml, ˈnɔ:ml] adj. 正常的;正规的，标准的 n. 标准;正常，常态 
north	[nɔ:θ, nɔ:rθ] n. 北方 adj. 北部的 adv. 在北方 
northern	[] adj. 北方的，北部的 
northward	['nɔ:θwəd] adv. 向北方 
nose	[nəʊz, noʊz] n. 鼻子 vt. 嗅出，闻出 vi. 小心探索着前进 
not	[nɒt, nɑ:t] adv. 不 
notable	[ˈnoʊtəbl, ˈnəʊtəbl] adj. 显著的;著名的 n. 名人;显要人物 
note	[noʊt, nəʊt] n. 笔记;音符 vt. 注意;记录 
notebook	[ˈnəʊtbʊk, ˈnoʊtbʊk] n. 笔记本 
nothing	[ˈnʌθɪŋ] pron. 没有东西 n. 无 adv. 毫不 
notice	[ˈnəʊtɪs, ˈnoʊtɪs] n. 注意 vt.&vi. 注意 vt. 通知 vi. 引起注意 
notify	[ˈnəʊtɪfaɪ, ˈnoʊtɪfaɪ] vt. 通知 
notion	[ˈnoʊʃn, ˈnəʊʃn] n. 概念，观念 
noun	[naʊn] n. 名词 
novel	[ˈnɒvl, ˈnɑ:vl] n. （长篇）小说;[法]新法，附律 adj. 新奇的;异常的 
November	[nəʊˈvembə(r), noʊˈvembə(r)] n. 十一月 
now	[naʊ] adv. 现在 adj. 现在的 n. 现在 conj. 由于 
nowadays	[ˈnaʊədeɪz, ˈnaʊəˌdez] adv. 现在，当今 n. 当今，现在 
nowhere	[ˈnoʊwer, ˈnəʊweə(r)] adv. 任何地方都不，无处 n. 无处 adj. 不存在的 
nuclear	[ˈnju:kliə(r), ˈnu:kliə(r)] adj. 原子核的，原子能的 
number	[ˈnʌmbɚ, ˈnʌmbə(r)] n. 数量;号码 v. 标号;总计 
numerous	[ˈnu:mərəs, ˈnju:mərəs] adj. 数不清的 
nurse	[nɜ:rs, nɜ:s] n. 护士，看护 vt.&vi. 护理 vt. 培育 
nursery	[ˈnɜ:rsəri, ˈnɜ:səri] n. 苗圃 
nut	[nʌt] n. 螺母，螺帽;坚果，坚果果仁 v. 采坚果;拾坚果 
nylon	[ˈnaɪlɒn, ˈnaɪlɑ:n] n. [纺]尼龙 
obey	[oˈbe, əˈbeɪ] vt.&vi. 服从，听从 vt. 遵守，遵循 
object	[ˈɑ:bdʒekt, ˈɒbdʒɪkt] n. 物体 
objective	[əbˈdʒektɪv, əbˈdʒɛktɪv] adj. 目标的;客观的，实体的 n. 目标，任务;[光]物镜 
obligation	[ˌɒblɪˈgeɪʃn, ˌɑ:blɪˈgeɪʃn] n. 债务 
oblige	[əˈblaɪdʒ] vt. 强制，强迫;使负债务 vi. 施恩惠;帮忙，效劳 
observation	[ˌɒbzəˈveɪʃn, ˌɑ:bzərˈveɪʃn] n. 观察 
observe	[əbˈzɜ:v, əbˈzɜ:rv] vt.&vi. 观察 vt. 观察 vi. 注意 
obtain	[əbˈtein, əbˈteɪn] vt. 获得，得到;流行 vi. 通行，通用;流行 
obvious	[ˈɒbviəs, ˈɑ:bviəs] adj. 明显的 
occasion	[əˈkeʒən, əˈkeɪʒn] n. 场合;机会，时机 vt. 惹起，引起 
occupation	[ˌɒkjuˈpeɪʃn, ˌɑ:kjuˈpeɪʃn] n. 职业，工作 
occupy	[ˈɒkjupaɪ, ˈɑ:kjupaɪ] vt. 占领 
occur	[əˈkɜ:(r), əˈkɚ] vi. 发生 
ocean	[ˈəʊʃn, ˈoʊʃn] n. 海洋 
October	[ɒkˈtəʊbə(r), ɑ:kˈtoʊbə(r)] n. 十月 
odd	[ɒd, ɑ:d] adj. 古怪的;奇数的 n. 奇特的事物;怪人 
odds	[ɒdz, ɑ:dz] n. 希望，可能性 
odour	[ˈodɚ, ˈəʊdə(r)] n. 气味，臭气 
of	[əv, ʌv] prep. 关于;属于…的 aux. 助动词  [非标准用语、方言] =have [主用于虚拟语气] 
off	[ɒf, ɔ:f] prep. 离开 adv. 离开 adj. 不新鲜的 n. 起跑 v. 杀死 
offense	[əˈfɛns, əˈfens] n. 进攻 
offer	[ˈɒfə(r), ˈɔ:fə(r)] vt. 提供，给予 vi. 提议 n. 提议 
office	[ˈɒfɪs, ˈɔ:fɪs] n. 办公室 
officer	[ˈɒfɪsə(r), ˈɔ:fɪsə(r)] n. 军官，警官;高级职员 v. 指挥;统率 
official	[əˈfɪʃəl, əˈfɪʃl] n. 公务员;行政官员 adj. 正式的;官方的，法定的 
often	[ˈɒfn, ˈɔ:fn] adv. 经常 
oh	[əʊ, o] int. 啊 
oil	[ɔɪl] n. 油 vt. 给…加油 vi. 化成油 
OK	[əʊˈkeɪ, oˈke] adj. 好的 
old	[əʊld, oʊld] adj. 老的;古老的 n. 古时 
omit	[əˈmɪt, oˈmɪt] vt. 省略 
on	[ɒn, ɑ:n] prep. （表示方向）向 adv. （放，穿，连接）上 adj. 活动着的情况，状态 
once	[wʌns] adv. 一旦 conj. 一旦…就… n. 一次，一回 
one	[wʌn] num. 一个 n. 一个人 pron. 一个人 adj. 某一个的 
oneself	[wʌnˈself, wʌnˈsɛlf] pron. 自己，自身 
onion	[ˈʌnjən] n. 洋葱（头） 
only	[ˈəʊnli, ˈoʊnli] adj. 唯一的 adv. 只，仅仅 conj. 但是，可是 
onto	[ˈɒntə, ˈɑnˌtu, -tə, ˈɔn-] prep. 到…之上;对…了解 adj. 映射的;自身的 
open	[ˈəʊpən, ˈoʊpən] adj. 敞开的，开着的 vt.&vi. （打）开 n. 公开 vi. 使打开 vt. 开放 
opening	[ˈəʊpnɪŋ, ˈoʊpnɪŋ] n. 开幕，开始 adj. 首次的，开始的 v. （打）开( open的现在分词) 
opera	[ˈɒprə, ˈɑ:prə] n. 歌剧 
operate	[ˈɒpəreɪt, ˈɑ:pəreɪt] vt.&vi. 操作 vi. 开刀 vt. 操作，控制，使运行 
operation	[ˌɑ:pəˈreɪʃn, ˌɒpəˈreɪʃn] n. 手术 
operator	[ˈɒpəreɪtə(r), ˈɑ:pəreɪtə(r)] n. 操作员 
opinion	[əˈpɪnjən] n. 意见，主张 
opponent	[əˈpəʊnənt, əˈpoʊnənt] n. 对手;敌手 adj. 对立的;敌对的 
opportunity	[ˌɒpəˈtju:nəti, ˌɑ:pərˈtu:nəti] n. 机会 
oppose	[əˈpoʊz, əˈpəʊz] vt.&vi. 抵制 
opposite	[ˈɒpəzɪt, ˈɑ:pəzət] adj. 对面的 prep. （表示位置）在…的对面 adv. 在对面，对过 n. 对立面，对立物，相反的人[事物] 
or	[ɔ:(r), ɔr] conj. 还是 prep. <古、诗>在…之前，比…更早 n. [纹章]黑金色、黑色 
oral	[ˈɔ:rəl, ˈɔrəl] adj. 口服的;口头的，口述的 n. （尤指外语考试中的）口试 
orange	[ˈɒrɪndʒ, ˈɔ:rɪndʒ] n. 橙色;桔子，橙子 adj. 橙色的;橘色的 
order	[ˈɔ:rdə(r), ˈɔ:də(r)] n. 秩序 vt. 命令 vi. 下订单 
orderly	[ˈɔ:dəli, ˈɔ:rdərli] adj. 整齐的，有秩序的 n. [军]传令下士 adv. 依次地，顺序地 
ordinary	[ˈɔ:rdneri, ˈɔ:dnri] adj. 普通的 
organ	[ˈɔ:rgən, ˈɔ:gən] n. 器官 
